Move,Depth,Value,Alpha,Beta
F7,2,-4945,-4945,9960
F6,3,-4995,-4945,9960
F7,2,-4945,-4945,9960
F8,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
F10,3,-4975,-4945,9960
F7,2,-4945,-4945,9960
F11,3,-4989,-4945,9960
F7,2,-4945,-4945,9960
F12,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
F13,3,-4994,-4945,9960
F7,2,-4945,-4945,9960
G6,3,-4995,-4945,9960
F7,2,-4945,-4945,9960
G7,3,-4945,-4945,9960
F7,2,-4945,-4945,9960
G13,3,-4994,-4945,9960
F7,2,-4945,-4945,9960
H5,3,-4995,-4945,9960
F7,2,-4945,-4945,9960
H6,3,-4945,-4945,9960
F7,2,-4945,-4945,9960
H7,3,-4988,-4945,9960
F7,2,-4945,-4945,9960
H12,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
H13,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
I5,3,-4995,-4945,9960
F7,2,-4945,-4945,9960
I11,3,-4994,-4945,9960
F7,2,-4945,-4945,9960
I12,3,-4995,-4945,9960
F7,2,-4945,-4945,9960
J5,3,-4995,-4945,9960
F7,2,-4945,-4945,9960
J6,3,-4980,-4945,9960
F7,2,-4945,-4945,9960
J7,3,-4943,-4945,9960
F7,2,-4943,-4943,9960
J10,3,-4945,-4943,9960
F7,2,-4943,-4943,9960
J11,3,-4995,-4943,9960
F7,2,-4943,-4943,9960
K5,3,-4995,-4943,9960
F7,2,-4943,-4943,9960
K6,3,-4994,-4943,9960
F7,2,-4943,-4943,9960
K9,3,-4945,-4943,9960
F7,2,-4943,-4943,9960
K10,3,-4995,-4943,9960
F7,2,-4943,-4943,9960
L5,3,-4995,-4943,9960
F7,2,-4943,-4943,9960
L7,3,5010,-4943,9960
F7,2,5010,5010,9960
L8,3,-4990,5010,9960
F7,2,5010,5010,9960
L9,3,-4995,5010,9960
F7,2,5010,5010,9960
M5,3,-4995,5010,9960
F7,2,5010,5010,9960
M6,3,-4995,5010,9960
F7,2,5010,5010,9960
M7,3,-4995,5010,9960
F7,2,5010,5010,9960
D8,1,5010,-Infinity,5010
F8,2,-Infinity,-Infinity,5010
C7,3,48,-Infinity,5010
F8,2,48,48,5010
C8,3,3,48,5010
F8,2,48,48,5010
C9,3,3,48,5010
F8,2,48,48,5010
D7,3,3,48,5010
F8,2,48,48,5010
D9,3,4,48,5010
F8,2,48,48,5010
D10,3,-1,48,5010
F8,2,48,48,5010
E7,3,3,48,5010
F8,2,48,48,5010
E8,3,4,48,5010
F8,2,48,48,5010
E10,3,3,48,5010
F8,2,48,48,5010
F7,3,498,48,5010
F8,2,498,498,5010
F10,3,18,498,5010
F8,2,498,498,5010
F11,3,4,498,5010
F8,2,498,498,5010
F12,3,3,498,5010
F8,2,498,498,5010
F13,3,-1,498,5010
F8,2,498,498,5010
G7,3,48,498,5010
F8,2,498,498,5010
G13,3,-1,498,5010
F8,2,498,498,5010
H5,3,-2,498,5010
F8,2,498,498,5010
H6,3,48,498,5010
F8,2,498,498,5010
H7,3,5,498,5010
F8,2,498,498,5010
H12,3,3,498,5010
F8,2,498,498,5010
H13,3,3,498,5010
F8,2,498,498,5010
I5,3,-2,498,5010
F8,2,498,498,5010
I11,3,-1,498,5010
F8,2,498,498,5010
I12,3,-2,498,5010
F8,2,498,498,5010
J5,3,-2,498,5010
F8,2,498,498,5010
J6,3,13,498,5010
F8,2,498,498,5010
J7,3,50,498,5010
F8,2,498,498,5010
J10,3,48,498,5010
F8,2,498,498,5010
J11,3,498,498,5010
F8,2,498,498,5010
K5,3,-2,498,5010
F8,2,498,498,5010
K6,3,-1,498,5010
F8,2,498,498,5010
K9,3,48,498,5010
F8,2,498,498,5010
K10,3,-2,498,5010
F8,2,498,498,5010
L5,3,-2,498,5010
F8,2,498,498,5010
L7,3,10003,498,5010
F8,2,10003,498,5010
D8,1,5010,-Infinity,5010
F10,2,-Infinity,-Infinity,5010
C7,3,8,-Infinity,5010
F10,2,8,8,5010
C8,3,3,8,5010
F10,2,8,8,5010
C9,3,3,8,5010
F10,2,8,8,5010
D7,3,3,8,5010
F10,2,8,8,5010
D9,3,4,8,5010
F10,2,8,8,5010
D10,3,3,8,5010
F10,2,8,8,5010
E7,3,3,8,5010
F10,2,8,8,5010
E8,3,8,8,5010
F10,2,8,8,5010
E10,3,3,8,5010
F10,2,8,8,5010
E11,3,-2,8,5010
F10,2,8,8,5010
F7,3,498,8,5010
F10,2,498,498,5010
F8,3,3,498,5010
F10,2,498,498,5010
F11,3,4,498,5010
F10,2,498,498,5010
F12,3,3,498,5010
F10,2,498,498,5010
F13,3,-1,498,5010
F10,2,498,498,5010
G7,3,48,498,5010
F10,2,498,498,5010
G13,3,-1,498,5010
F10,2,498,498,5010
H5,3,-2,498,5010
F10,2,498,498,5010
H6,3,48,498,5010
F10,2,498,498,5010
H7,3,5,498,5010
F10,2,498,498,5010
H12,3,3,498,5010
F10,2,498,498,5010
H13,3,3,498,5010
F10,2,498,498,5010
I5,3,-2,498,5010
F10,2,498,498,5010
I11,3,-1,498,5010
F10,2,498,498,5010
I12,3,-2,498,5010
F10,2,498,498,5010
J5,3,-2,498,5010
F10,2,498,498,5010
J6,3,13,498,5010
F10,2,498,498,5010
J7,3,50,498,5010
F10,2,498,498,5010
J10,3,48,498,5010
F10,2,498,498,5010
J11,3,498,498,5010
F10,2,498,498,5010
K5,3,-2,498,5010
F10,2,498,498,5010
K6,3,-1,498,5010
F10,2,498,498,5010
K9,3,48,498,5010
F10,2,498,498,5010
K10,3,-2,498,5010
F10,2,498,498,5010
L5,3,-2,498,5010
F10,2,498,498,5010
L7,3,10003,498,5010
F10,2,10003,498,5010
D8,1,5010,-Infinity,5010
F11,2,-Infinity,-Infinity,5010
C7,3,5,-Infinity,5010
F11,2,5,5,5010
C8,3,-40,5,5010
F11,2,5,5,5010
C9,3,-40,5,5010
F11,2,5,5,5010
D7,3,-40,5,5010
F11,2,5,5,5010
D9,3,-39,5,5010
F11,2,5,5,5010
D10,3,-40,5,5010
F11,2,5,5,5010
E7,3,-40,5,5010
F11,2,5,5,5010
E8,3,-35,5,5010
F11,2,5,5,5010
E10,3,-40,5,5010
F11,2,5,5,5010
E11,3,455,5,5010
F11,2,455,455,5010
E12,3,-45,455,5010
F11,2,455,455,5010
F7,3,455,455,5010
F11,2,455,455,5010
F8,3,-40,455,5010
F11,2,455,455,5010
F10,3,-25,455,5010
F11,2,455,455,5010
F12,3,-40,455,5010
F11,2,455,455,5010
F13,3,-44,455,5010
F11,2,455,455,5010
G7,3,5,455,5010
F11,2,455,455,5010
G13,3,-44,455,5010
F11,2,455,455,5010
H5,3,-45,455,5010
F11,2,455,455,5010
H6,3,5,455,5010
F11,2,455,455,5010
H7,3,-38,455,5010
F11,2,455,455,5010
H12,3,-40,455,5010
F11,2,455,455,5010
H13,3,-44,455,5010
F11,2,455,455,5010
I5,3,-45,455,5010
F11,2,455,455,5010
I11,3,456,455,5010
F11,2,456,456,5010
I12,3,-45,456,5010
F11,2,456,456,5010
J5,3,-45,456,5010
F11,2,456,456,5010
J6,3,-30,456,5010
F11,2,456,456,5010
J7,3,7,456,5010
F11,2,456,456,5010
J10,3,5,456,5010
F11,2,456,456,5010
J11,3,455,456,5010
F11,2,456,456,5010
K5,3,-45,456,5010
F11,2,456,456,5010
K6,3,-44,456,5010
F11,2,456,456,5010
K9,3,5,456,5010
F11,2,456,456,5010
K10,3,-45,456,5010
F11,2,456,456,5010
L5,3,-45,456,5010
F11,2,456,456,5010
L7,3,9960,456,5010
F11,2,9960,456,5010
D8,1,5010,-Infinity,5010
F12,2,-Infinity,-Infinity,5010
C7,3,54,-Infinity,5010
F12,2,54,54,5010
C8,3,9,54,5010
F12,2,54,54,5010
C9,3,9,54,5010
F12,2,54,54,5010
D7,3,9,54,5010
F12,2,54,54,5010
D9,3,10,54,5010
F12,2,54,54,5010
D10,3,9,54,5010
F12,2,54,54,5010
